year,category,value
2010,Violent charges,34.97942386831276
2011,Violent charges,33.43701399688958
2012,Violent charges,45.54455445544555
2013,Violent charges,48.7037037037037
2014,Violent charges,48.44357976653696
2015,Violent charges,52.106430155210646
2016,Violent charges,54.81651376146789
2017,Violent charges,50.24999999999999
2018,Violent charges,49.033816425120776
2019,Violent charges,49.2
2020,Violent charges,50.13850415512465
2021,Violent charges,54.78723404255319
2022,Violent charges,61.75548589341693
2023,Violent charges,61.67400881057269
2010,Sex offence charges,5.967078189300412
2011,Sex offence charges,5.287713841368585
2012,Sex offence charges,7.425742574257425
2013,Sex offence charges,8.333333333333332
2014,Sex offence charges,9.14396887159533
2015,Sex offence charges,9.977827050997783
2016,Sex offence charges,12.614678899082568
2017,Sex offence charges,20.25
2018,Sex offence charges,13.768115942028986
2019,Sex offence charges,11.4
2020,Sex offence charges,14.127423822714682
2021,Sex offence charges,23.670212765957448
2022,Sex offence charges,32.60188087774294
2023,Sex offence charges,34.36123348017621
2010,Theft charges,11.728395061728394
2011,Theft charges,15.085536547433904
2012,Theft charges,13.366336633663368
2013,Theft charges,10.37037037037037
2014,Theft charges,14.396887159533073
2015,Theft charges,15.74279379157428
2016,Theft charges,9.862385321100918
2017,Theft charges,9.5
2018,Theft charges,11.11111111111111
2019,Theft charges,14.2
2020,Theft charges,9.418282548476455
2021,Theft charges,17.02127659574468
2022,Theft charges,6.269592476489027
2023,Theft charges,9.691629955947137
2010,Military misdemeanours,52.05761316872428
2011,Military misdemeanours,48.52255054432349
2012,Military misdemeanours,39.10891089108911
2013,Military misdemeanours,38.51851851851852
2014,Military misdemeanours,37.7431906614786
2015,Military misdemeanours,31.263858093126384
2016,Military misdemeanours,31.880733944954127
2017,Military misdemeanours,35.75
2018,Military misdemeanours,36.473429951690825
2019,Military misdemeanours,30.4
2020,Military misdemeanours,39.612188365650965
2021,Military misdemeanours,25.79787234042553
2022,Military misdemeanours,25.391849529780565
2023,Military misdemeanours,31.277533039647576
2010,Identity-based discrimination,0.205761316872428
2011,Identity-based discrimination,0.7776049766718507
2012,Identity-based discrimination,1.7326732673267329
2013,Identity-based discrimination,0.7407407407407408
2014,Identity-based discrimination,0.38910505836575876
2015,Identity-based discrimination,0.0
2016,Identity-based discrimination,0.22935779816513763
2017,Identity-based discrimination,1.0
2018,Identity-based discrimination,0.4830917874396135
2019,Identity-based discrimination,1.6
2020,Identity-based discrimination,2.4930747922437675
2021,Identity-based discrimination,1.8617021276595744
2022,Identity-based discrimination,1.5673981191222568
2023,Identity-based discrimination,0.4405286343612335
2010,Drugs,1.8518518518518516
2011,Drugs,2.488335925349922
2012,Drugs,3.4653465346534658
2013,Drugs,3.5185185185185186
2014,Drugs,3.8910505836575875
2015,Drugs,3.1042128603104215
2016,Drugs,3.4403669724770642
2017,Drugs,4.0
2018,Drugs,6.763285024154589
2019,Drugs,5.800000000000001
2020,Drugs,2.7700831024930745
2021,Drugs,4.25531914893617
2022,Drugs,5.6426332288401255
2023,Drugs,3.9647577092511015
2010,Alcohol,3.0864197530864197
2011,Alcohol,3.265940902021773
2012,Alcohol,3.4653465346534658
2013,Alcohol,3.5185185185185186
2014,Alcohol,3.501945525291829
2015,Alcohol,6.208425720620843
2016,Alcohol,3.89908256880734
2017,Alcohol,5.0
2018,Alcohol,8.454106280193237
2019,Alcohol,7.8
2020,Alcohol,8.033240997229916
2021,Alcohol,5.319148936170213
2022,Alcohol,5.6426332288401255
2023,Alcohol,6.607929515418502
2010,Child sex offence charge,1.8518518518518516
2011,Child sex offence charge,1.3996889580093312
2012,Child sex offence charge,2.2277227722772275
2013,Child sex offence charge,1.6666666666666667
2014,Child sex offence charge,2.140077821011673
2015,Child sex offence charge,3.7694013303769403
2016,Child sex offence charge,2.293577981651376
2017,Child sex offence charge,4.5
2018,Child sex offence charge,2.898550724637681
2019,Child sex offence charge,1.4000000000000001
2020,Child sex offence charge,1.9390581717451523
2021,Child sex offence charge,2.6595744680851063
2022,Child sex offence charge,3.1347962382445136
2023,Child sex offence charge,3.9647577092511015
2010,Firearms charges,0.411522633744856
2011,Firearms charges,0.6220839813374806
2012,Firearms charges,2.4752475247524752
2013,Firearms charges,1.6666666666666667
2014,Firearms charges,1.3618677042801557
2015,Firearms charges,0.8869179600886918
2016,Firearms charges,0.9174311926605505
2017,Firearms charges,1.0
2018,Firearms charges,0.24154589371980675
2019,Firearms charges,1.6
2020,Firearms charges,0.8310249307479225
2021,Firearms charges,0.7978723404255319
2022,Firearms charges,1.2539184952978055
2023,Firearms charges,1.3215859030837005
2010,Damage to private property,2.674897119341564
2011,Damage to private property,2.6438569206842923
2012,Damage to private property,1.9801980198019802
2013,Damage to private property,2.037037037037037
2014,Damage to private property,2.3346303501945527
2015,Damage to private property,2.6607538802660753
2016,Damage to private property,2.293577981651376
2017,Damage to private property,1.25
2018,Damage to private property,3.6231884057971016
2019,Damage to private property,2.1999999999999997
2020,Damage to private property,2.7700831024930745
2021,Damage to private property,2.925531914893617
2022,Damage to private property,2.8213166144200628
2023,Damage to private property,0.881057268722467
2010,Vehicle Negligence,0.6172839506172839
2011,Vehicle Negligence,1.3996889580093312
2012,Vehicle Negligence,1.4851485148514851
2013,Vehicle Negligence,1.1111111111111112
2014,Vehicle Negligence,0.7782101167315175
2015,Vehicle Negligence,0.8869179600886918
2016,Vehicle Negligence,0.45871559633027525
2017,Vehicle Negligence,0.5
2018,Vehicle Negligence,0.7246376811594203
2019,Vehicle Negligence,0.6
2020,Vehicle Negligence,0.554016620498615
2021,Vehicle Negligence,0.26595744680851063
2022,Vehicle Negligence,0.0
2023,Vehicle Negligence,0.0
2010,Harassment,2.05761316872428
2011,Harassment,1.5552099533437014
2012,Harassment,3.4653465346534658
2013,Harassment,2.9629629629629632
2014,Harassment,2.9182879377431905
2015,Harassment,2.2172949002217295
2016,Harassment,3.211009174311927
2017,Harassment,3.0
2018,Harassment,3.864734299516908
2019,Harassment,3.8
2020,Harassment,8.033240997229916
2021,Harassment,2.925531914893617
2022,Harassment,5.6426332288401255
2023,Harassment,3.524229074889868
2010,Manslaughter,0.0
2011,Manslaughter,0.3110419906687403
2012,Manslaughter,0.49504950495049505
2013,Manslaughter,0.1851851851851852
2014,Manslaughter,0.0
2015,Manslaughter,0.22172949002217296
2016,Manslaughter,0.0
2017,Manslaughter,0.75
2018,Manslaughter,0.4830917874396135
2019,Manslaughter,0.6
2020,Manslaughter,0.0
